TOP.60e8ecbf.000ba62a	START
TOP.60e8ecbf.000ba62a	user_options->veracrypt_pim_start	485
TOP.60e8ecbf.000ba62a	user_options->veracrypt_pim_stop	485
TOP.60e8ecbf.000ba62a	user_options->version	0
TOP.60e8ecbf.000ba62a	user_options->workload_profile	2
TOP.60e8ecbf.000ba62a	user_options->brain_client	0
TOP.60e8ecbf.000ba62a	user_options->brain_client_features	2
TOP.60e8ecbf.000ba62a	user_options->brain_server	0
TOP.60e8ecbf.000ba62a	user_options->brain_server_timer	300
TOP.60e8ecbf.000ba62a	user_options->brain_port	6863
TOP.60e8ecbf.000ba62a	user_options->brain_session	0
TOP.60e8ecbf.000ba62a	proc_start	1625877695
TOP.60e8ecbf.000ba62a	proc_stop	1625877695
TOP.60e8ecbf.000ba62a	STOP
TOP.60e8ece1.0001a7e7	START
TOP.60e8ece1.0001a7e7	folder_config->cwd	/home/airamek
TOP.60e8ece1.0001a7e7	folder_config->install_dir	/usr/bin
TOP.60e8ece1.0001a7e7	folder_config->profile_dir	/home/airamek/.local/share/hashcat
TOP.60e8ece1.0001a7e7	folder_config->session_dir	/home/airamek/.local/share/hashcat/sessions
TOP.60e8ece1.0001a7e7	folder_config->shared_dir	/usr/lib/hashcat
TOP.60e8ece1.0001a7e7	user_options->separator	:
TOP.60e8ece1.0001a7e7	user_options->encoding_from	utf-8
TOP.60e8ece1.0001a7e7	user_options->encoding_to	utf-8
TOP.60e8ece1.0001a7e7	user_options->rule_buf_l	:
TOP.60e8ece1.0001a7e7	user_options->rule_buf_r	:
TOP.60e8ece1.0001a7e7	user_options->session	hashcat
TOP.60e8ece1.0001a7e7	user_options->limit	0
TOP.60e8ece1.0001a7e7	user_options->skip	0
TOP.60e8ece1.0001a7e7	user_options->attack_mode	0
TOP.60e8ece1.0001a7e7	user_options->benchmark	0
TOP.60e8ece1.0001a7e7	user_options->benchmark_all	0
TOP.60e8ece1.0001a7e7	user_options->bitmap_max	18
TOP.60e8ece1.0001a7e7	user_options->bitmap_min	16
TOP.60e8ece1.0001a7e7	user_options->debug_mode	0
TOP.60e8ece1.0001a7e7	user_options->hash_info	0
TOP.60e8ece1.0001a7e7	user_options->force	1
TOP.60e8ece1.0001a7e7	user_options->hwmon_disable	0
TOP.60e8ece1.0001a7e7	user_options->hwmon_temp_abort	90
TOP.60e8ece1.0001a7e7	user_options->hash_mode	0
TOP.60e8ece1.0001a7e7	user_options->hex_charset	1
TOP.60e8ece1.0001a7e7	user_options->hex_salt	0
TOP.60e8ece1.0001a7e7	user_options->hex_wordlist	0
TOP.60e8ece1.0001a7e7	user_options->hook_threads	12
TOP.60e8ece1.0001a7e7	user_options->identify	0
TOP.60e8ece1.0001a7e7	user_options->increment	0
TOP.60e8ece1.0001a7e7	user_options->increment_max	256
TOP.60e8ece1.0001a7e7	user_options->increment_min	1
TOP.60e8ece1.0001a7e7	user_options->keep_guessing	0
TOP.60e8ece1.0001a7e7	user_options->kernel_accel	0
TOP.60e8ece1.0001a7e7	user_options->kernel_loops	0
TOP.60e8ece1.0001a7e7	user_options->kernel_threads	0
TOP.60e8ece1.0001a7e7	user_options->keyspace	0
TOP.60e8ece1.0001a7e7	user_options->left	0
TOP.60e8ece1.0001a7e7	user_options->logfile_disable	0
TOP.60e8ece1.0001a7e7	user_options->loopback	0
TOP.60e8ece1.0001a7e7	user_options->machine_readable	0
TOP.60e8ece1.0001a7e7	user_options->markov_classic	0
TOP.60e8ece1.0001a7e7	user_options->markov_disable	0
TOP.60e8ece1.0001a7e7	user_options->markov_threshold	256
TOP.60e8ece1.0001a7e7	user_options->backend_info	0
TOP.60e8ece1.0001a7e7	user_options->backend_vector_width	0
TOP.60e8ece1.0001a7e7	user_options->optimized_kernel_enable	0
TOP.60e8ece1.0001a7e7	user_options->outfile_autohex	1
TOP.60e8ece1.0001a7e7	user_options->outfile_check_timer	5
TOP.60e8ece1.0001a7e7	user_options->outfile_format	3
TOP.60e8ece1.0001a7e7	user_options->wordlist_autohex_disable	0
TOP.60e8ece1.0001a7e7	user_options->potfile_disable	0
TOP.60e8ece1.0001a7e7	user_options->progress_only	0
TOP.60e8ece1.0001a7e7	user_options->quiet	0
TOP.60e8ece1.0001a7e7	user_options->remove	0
TOP.60e8ece1.0001a7e7	user_options->remove_timer	60
TOP.60e8ece1.0001a7e7	user_options->restore	0
TOP.60e8ece1.0001a7e7	user_options->restore_disable	0
TOP.60e8ece1.0001a7e7	user_options->restore_timer	60
TOP.60e8ece1.0001a7e7	user_options->rp_files_cnt	0
TOP.60e8ece1.0001a7e7	user_options->rp_gen	0
TOP.60e8ece1.0001a7e7	user_options->rp_gen_func_max	4
TOP.60e8ece1.0001a7e7	user_options->rp_gen_func_min	1
TOP.60e8ece1.0001a7e7	user_options->rp_gen_seed	0
TOP.60e8ece1.0001a7e7	user_options->runtime	0
TOP.60e8ece1.0001a7e7	user_options->scrypt_tmto	0
TOP.60e8ece1.0001a7e7	user_options->segment_size	33554432
TOP.60e8ece1.0001a7e7	user_options->self_test_disable	0
TOP.60e8ece1.0001a7e7	user_options->slow_candidates	0
TOP.60e8ece1.0001a7e7	user_options->show	0
TOP.60e8ece1.0001a7e7	user_options->speed_only	0
TOP.60e8ece1.0001a7e7	user_options->spin_damp	0
TOP.60e8ece1.0001a7e7	user_options->status	1
TOP.60e8ece1.0001a7e7	user_options->status_json	0
TOP.60e8ece1.0001a7e7	user_options->status_timer	10
TOP.60e8ece1.0001a7e7	user_options->stdout_flag	0
TOP.60e8ece1.0001a7e7	user_options->usage	0
TOP.60e8ece1.0001a7e7	user_options->username	0
TOP.60e8ece1.0001a7e7	user_options->veracrypt_pim_start	485
TOP.60e8ece1.0001a7e7	user_options->veracrypt_pim_stop	485
TOP.60e8ece1.0001a7e7	user_options->version	0
TOP.60e8ece1.0001a7e7	user_options->workload_profile	2
TOP.60e8ece1.0001a7e7	user_options->brain_client	0
TOP.60e8ece1.0001a7e7	user_options->brain_client_features	2
TOP.60e8ece1.0001a7e7	user_options->brain_server	0
TOP.60e8ece1.0001a7e7	user_options->brain_server_timer	300
TOP.60e8ece1.0001a7e7	user_options->brain_port	6863
TOP.60e8ece1.0001a7e7	user_options->brain_session	0
TOP.60e8ece1.0001a7e7	proc_start	1625877729
TOP.60e8ece1.0001a7e7	proc_stop	1625877729
TOP.60e8ece1.0001a7e7	STOP
TOP.60e8ed2e.0000d5ce	START
TOP.60e8ed2e.0000d5ce	folder_config->cwd	/home/airamek
TOP.60e8ed2e.0000d5ce	folder_config->install_dir	/usr/bin
TOP.60e8ed2e.0000d5ce	folder_config->profile_dir	/home/airamek/.local/share/hashcat
TOP.60e8ed2e.0000d5ce	folder_config->session_dir	/home/airamek/.local/share/hashcat/sessions
TOP.60e8ed2e.0000d5ce	folder_config->shared_dir	/usr/lib/hashcat
TOP.60e8ed2e.0000d5ce	user_options->separator	:
TOP.60e8ed2e.0000d5ce	user_options->encoding_from	utf-8
TOP.60e8ed2e.0000d5ce	user_options->encoding_to	utf-8
TOP.60e8ed2e.0000d5ce	user_options->rule_buf_l	:
TOP.60e8ed2e.0000d5ce	user_options->rule_buf_r	:
TOP.60e8ed2e.0000d5ce	user_options->session	hashcat
TOP.60e8ed2e.0000d5ce	user_options->limit	0
TOP.60e8ed2e.0000d5ce	user_options->skip	0
TOP.60e8ed2e.0000d5ce	user_options->attack_mode	0
TOP.60e8ed2e.0000d5ce	user_options->benchmark	0
TOP.60e8ed2e.0000d5ce	user_options->benchmark_all	0
TOP.60e8ed2e.0000d5ce	user_options->bitmap_max	18
TOP.60e8ed2e.0000d5ce	user_options->bitmap_min	16
TOP.60e8ed2e.0000d5ce	user_options->debug_mode	0
TOP.60e8ed2e.0000d5ce	user_options->hash_info	0
TOP.60e8ed2e.0000d5ce	user_options->force	1
TOP.60e8ed2e.0000d5ce	user_options->hwmon_disable	0
TOP.60e8ed2e.0000d5ce	user_options->hwmon_temp_abort	90
TOP.60e8ed2e.0000d5ce	user_options->hash_mode	0
TOP.60e8ed2e.0000d5ce	user_options->hex_charset	0
TOP.60e8ed2e.0000d5ce	user_options->hex_salt	0
TOP.60e8ed2e.0000d5ce	user_options->hex_wordlist	0
TOP.60e8ed2e.0000d5ce	user_options->hook_threads	12
TOP.60e8ed2e.0000d5ce	user_options->identify	0
TOP.60e8ed2e.0000d5ce	user_options->increment	0
TOP.60e8ed2e.0000d5ce	user_options->increment_max	256
TOP.60e8ed2e.0000d5ce	user_options->increment_min	1
TOP.60e8ed2e.0000d5ce	user_options->keep_guessing	0
TOP.60e8ed2e.0000d5ce	user_options->kernel_accel	0
TOP.60e8ed2e.0000d5ce	user_options->kernel_loops	0
TOP.60e8ed2e.0000d5ce	user_options->kernel_threads	0
TOP.60e8ed2e.0000d5ce	user_options->keyspace	0
TOP.60e8ed2e.0000d5ce	user_options->left	0
TOP.60e8ed2e.0000d5ce	user_options->logfile_disable	0
TOP.60e8ed2e.0000d5ce	user_options->loopback	0
TOP.60e8ed2e.0000d5ce	user_options->machine_readable	0
TOP.60e8ed2e.0000d5ce	user_options->markov_classic	0
TOP.60e8ed2e.0000d5ce	user_options->markov_disable	0
TOP.60e8ed2e.0000d5ce	user_options->markov_threshold	256
TOP.60e8ed2e.0000d5ce	user_options->backend_info	0
TOP.60e8ed2e.0000d5ce	user_options->backend_vector_width	0
TOP.60e8ed2e.0000d5ce	user_options->optimized_kernel_enable	0
TOP.60e8ed2e.0000d5ce	user_options->outfile_autohex	1
TOP.60e8ed2e.0000d5ce	user_options->outfile_check_timer	5
TOP.60e8ed2e.0000d5ce	user_options->outfile_format	3
TOP.60e8ed2e.0000d5ce	user_options->wordlist_autohex_disable	0
TOP.60e8ed2e.0000d5ce	user_options->potfile_disable	0
TOP.60e8ed2e.0000d5ce	user_options->progress_only	0
TOP.60e8ed2e.0000d5ce	user_options->quiet	0
TOP.60e8ed2e.0000d5ce	user_options->remove	0
TOP.60e8ed2e.0000d5ce	user_options->remove_timer	60
TOP.60e8ed2e.0000d5ce	user_options->restore	0
TOP.60e8ed2e.0000d5ce	user_options->restore_disable	0
TOP.60e8ed2e.0000d5ce	user_options->restore_timer	60
TOP.60e8ed2e.0000d5ce	user_options->rp_files_cnt	0
TOP.60e8ed2e.0000d5ce	user_options->rp_gen	0
TOP.60e8ed2e.0000d5ce	user_options->rp_gen_func_max	4
TOP.60e8ed2e.0000d5ce	user_options->rp_gen_func_min	1
TOP.60e8ed2e.0000d5ce	user_options->rp_gen_seed	0
TOP.60e8ed2e.0000d5ce	user_options->runtime	0
TOP.60e8ed2e.0000d5ce	user_options->scrypt_tmto	0
TOP.60e8ed2e.0000d5ce	user_options->segment_size	33554432
TOP.60e8ed2e.0000d5ce	user_options->self_test_disable	0
TOP.60e8ed2e.0000d5ce	user_options->slow_candidates	0
TOP.60e8ed2e.0000d5ce	user_options->show	0
TOP.60e8ed2e.0000d5ce	user_options->speed_only	0
TOP.60e8ed2e.0000d5ce	user_options->spin_damp	0
TOP.60e8ed2e.0000d5ce	user_options->status	1
TOP.60e8ed2e.0000d5ce	user_options->status_json	0
TOP.60e8ed2e.0000d5ce	user_options->status_timer	10
TOP.60e8ed2e.0000d5ce	user_options->stdout_flag	0
TOP.60e8ed2e.0000d5ce	user_options->usage	0
TOP.60e8ed2e.0000d5ce	user_options->username	0
TOP.60e8ed2e.0000d5ce	user_options->veracrypt_pim_start	485
TOP.60e8ed2e.0000d5ce	user_options->veracrypt_pim_stop	485
TOP.60e8ed2e.0000d5ce	user_options->version	0
TOP.60e8ed2e.0000d5ce	user_options->workload_profile	2
TOP.60e8ed2e.0000d5ce	user_options->brain_client	0
TOP.60e8ed2e.0000d5ce	user_options->brain_client_features	2
TOP.60e8ed2e.0000d5ce	user_options->brain_server	0
TOP.60e8ed2e.0000d5ce	user_options->brain_server_timer	300
TOP.60e8ed2e.0000d5ce	user_options->brain_port	6863
TOP.60e8ed2e.0000d5ce	user_options->brain_session	0
TOP.60e8ed2e.0000d5ce	proc_start	1625877806
TOP.60e8ed2e.0000d5ce	proc_stop	1625877806
TOP.60e8ed2e.0000d5ce	STOP
TOP.60e8ed9f.0002a495	START
TOP.60e8ed9f.0002a495	folder_config->cwd	/home/airamek
TOP.60e8ed9f.0002a495	folder_config->install_dir	/usr/bin
TOP.60e8ed9f.0002a495	folder_config->profile_dir	/home/airamek/.local/share/hashcat
TOP.60e8ed9f.0002a495	folder_config->session_dir	/home/airamek/.local/share/hashcat/sessions
TOP.60e8ed9f.0002a495	folder_config->shared_dir	/usr/lib/hashcat
TOP.60e8ed9f.0002a495	user_options->separator	:
TOP.60e8ed9f.0002a495	user_options->encoding_from	utf-8
TOP.60e8ed9f.0002a495	user_options->encoding_to	utf-8
TOP.60e8ed9f.0002a495	user_options->rule_buf_l	:
TOP.60e8ed9f.0002a495	user_options->rule_buf_r	:
TOP.60e8ed9f.0002a495	user_options->session	hashcat
TOP.60e8ed9f.0002a495	user_options->limit	0
TOP.60e8ed9f.0002a495	user_options->skip	0
TOP.60e8ed9f.0002a495	user_options->attack_mode	0
TOP.60e8ed9f.0002a495	user_options->benchmark	0
TOP.60e8ed9f.0002a495	user_options->benchmark_all	0
TOP.60e8ed9f.0002a495	user_options->bitmap_max	18
TOP.60e8ed9f.0002a495	user_options->bitmap_min	16
TOP.60e8ed9f.0002a495	user_options->debug_mode	0
TOP.60e8ed9f.0002a495	user_options->hash_info	0
TOP.60e8ed9f.0002a495	user_options->force	1
TOP.60e8ed9f.0002a495	user_options->hwmon_disable	0
TOP.60e8ed9f.0002a495	user_options->hwmon_temp_abort	90
TOP.60e8ed9f.0002a495	user_options->hash_mode	0
TOP.60e8ed9f.0002a495	user_options->hex_charset	0
TOP.60e8ed9f.0002a495	user_options->hex_salt	0
TOP.60e8ed9f.0002a495	user_options->hex_wordlist	0
TOP.60e8ed9f.0002a495	user_options->hook_threads	12
TOP.60e8ed9f.0002a495	user_options->identify	0
TOP.60e8ed9f.0002a495	user_options->increment	0
TOP.60e8ed9f.0002a495	user_options->increment_max	256
TOP.60e8ed9f.0002a495	user_options->increment_min	1
TOP.60e8ed9f.0002a495	user_options->keep_guessing	0
TOP.60e8ed9f.0002a495	user_options->kernel_accel	0
TOP.60e8ed9f.0002a495	user_options->kernel_loops	0
TOP.60e8ed9f.0002a495	user_options->kernel_threads	0
TOP.60e8ed9f.0002a495	user_options->keyspace	0
TOP.60e8ed9f.0002a495	user_options->left	0
TOP.60e8ed9f.0002a495	user_options->logfile_disable	0
TOP.60e8ed9f.0002a495	user_options->loopback	0
TOP.60e8ed9f.0002a495	user_options->machine_readable	0
TOP.60e8ed9f.0002a495	user_options->markov_classic	0
TOP.60e8ed9f.0002a495	user_options->markov_disable	0
TOP.60e8ed9f.0002a495	user_options->markov_threshold	256
TOP.60e8ed9f.0002a495	user_options->backend_info	0
TOP.60e8ed9f.0002a495	user_options->backend_vector_width	0
TOP.60e8ed9f.0002a495	user_options->optimized_kernel_enable	0
TOP.60e8ed9f.0002a495	user_options->outfile_autohex	1
TOP.60e8ed9f.0002a495	user_options->outfile_check_timer	5
TOP.60e8ed9f.0002a495	user_options->outfile_format	3
TOP.60e8ed9f.0002a495	user_options->wordlist_autohex_disable	0
TOP.60e8ed9f.0002a495	user_options->potfile_disable	0
TOP.60e8ed9f.0002a495	user_options->progress_only	0
TOP.60e8ed9f.0002a495	user_options->quiet	0
TOP.60e8ed9f.0002a495	user_options->remove	0
TOP.60e8ed9f.0002a495	user_options->remove_timer	60
TOP.60e8ed9f.0002a495	user_options->restore	0
TOP.60e8ed9f.0002a495	user_options->restore_disable	0
TOP.60e8ed9f.0002a495	user_options->restore_timer	60
TOP.60e8ed9f.0002a495	user_options->rp_files_cnt	0
TOP.60e8ed9f.0002a495	user_options->rp_gen	0
TOP.60e8ed9f.0002a495	user_options->rp_gen_func_max	4
TOP.60e8ed9f.0002a495	user_options->rp_gen_func_min	1
TOP.60e8ed9f.0002a495	user_options->rp_gen_seed	0
TOP.60e8ed9f.0002a495	user_options->runtime	0
TOP.60e8ed9f.0002a495	user_options->scrypt_tmto	0
TOP.60e8ed9f.0002a495	user_options->segment_size	33554432
TOP.60e8ed9f.0002a495	user_options->self_test_disable	0
TOP.60e8ed9f.0002a495	user_options->slow_candidates	0
TOP.60e8ed9f.0002a495	user_options->show	0
TOP.60e8ed9f.0002a495	user_options->speed_only	0
TOP.60e8ed9f.0002a495	user_options->spin_damp	0
TOP.60e8ed9f.0002a495	user_options->status	1
TOP.60e8ed9f.0002a495	user_options->status_json	0
TOP.60e8ed9f.0002a495	user_options->status_timer	10
TOP.60e8ed9f.0002a495	user_options->stdout_flag	0
TOP.60e8ed9f.0002a495	user_options->usage	0
TOP.60e8ed9f.0002a495	user_options->username	0
TOP.60e8ed9f.0002a495	user_options->veracrypt_pim_start	485
TOP.60e8ed9f.0002a495	user_options->veracrypt_pim_stop	485
TOP.60e8ed9f.0002a495	user_options->version	0
TOP.60e8ed9f.0002a495	user_options->workload_profile	2
TOP.60e8ed9f.0002a495	user_options->brain_client	0
TOP.60e8ed9f.0002a495	user_options->brain_client_features	2
TOP.60e8ed9f.0002a495	user_options->brain_server	0
TOP.60e8ed9f.0002a495	user_options->brain_server_timer	300
TOP.60e8ed9f.0002a495	user_options->brain_port	6863
TOP.60e8ed9f.0002a495	user_options->brain_session	0
TOP.60e8ed9f.0002a495	proc_start	1625877919
TOP.60e8ed9f.0002a495	proc_stop	1625877919
TOP.60e8ed9f.0002a495	STOP
