2021-08-09 05:46:53 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-09 05:47:50 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-09 05:47:50 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-09 05:54:09 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-09 05:54:09 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-09 05:55:23 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-09 05:55:23 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-09 05:57:28 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-09 05:57:28 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-09 20:48:53 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-09 20:48:53 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-11 12:21:30 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-11 12:21:30 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-13 22:07:43 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-13 22:07:43 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-19 13:02:07 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-19 13:02:07 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-19 16:11:38 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-19 16:11:38 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-21 11:48:36 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-21 11:48:36 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-22 20:27:06 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-22 20:27:06 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
